date,category,product,region,sales,quantity,cost,profit,customer_rating
2025-01-05,Electronics,Wireless Headphones,North,12500,45,7500,5000,4.2
2025-01-12,Electronics,Smart Watch,North,18900,30,11340,7560,4.5
2025-01-18,Clothing,Winter Jacket,South,8500,25,4250,4250,4.1
2025-01-22,Electronics,Bluetooth Speaker,East,6200,50,3720,2480,3.9
2025-02-01,Home & Garden,Smart LED Bulbs,West,3100,120,1860,1240,4.3
2025-02-08,Clothing,Running Shoes,North,7800,40,3900,3900,4.4
2025-02-14,Food & Beverage,Organic Coffee,East,2200,200,1320,880,4.6
2025-02-20,Electronics,Wireless Headphones,South,15200,55,9120,6080,4.3
2025-03-01,Home & Garden,Indoor Plant Set,West,4500,60,2700,1800,4.0
2025-03-08,Clothing,Summer Dress,South,5600,35,2800,2800,4.2
2025-03-15,Electronics,Smart Watch,East,21000,35,12600,8400,4.6
2025-03-22,Food & Beverage,Organic Coffee,North,2800,250,1680,1120,4.7
2025-04-01,Electronics,Wireless Headphones,West,13800,50,8280,5520,4.1
2025-04-08,Home & Garden,Smart LED Bulbs,North,3600,140,2160,1440,4.2
2025-04-14,Clothing,Winter Jacket,East,9200,28,4600,4600,4.0
2025-04-20,Food & Beverage,Organic Coffee,South,2500,220,1500,1000,4.5
2025-04-28,Electronics,Bluetooth Speaker,North,7100,55,4260,2840,4.0
2025-05-05,Clothing,Running Shoes,West,8900,45,4450,4450,4.5
2025-05-12,Electronics,Smart Watch,South,23500,40,14100,9400,4.7
2025-05-18,Home & Garden,Indoor Plant Set,East,5200,70,3120,2080,4.1
2025-05-25,Food & Beverage,Organic Coffee,West,3100,280,1860,1240,4.8
2025-06-01,Electronics,Wireless Headphones,North,16200,58,9720,6480,4.3
2025-06-08,Clothing,Summer Dress,North,6800,42,3400,3400,4.3
2025-06-14,Electronics,Bluetooth Speaker,South,8500,65,5100,3400,4.1
2025-06-20,Home & Garden,Smart LED Bulbs,East,4200,160,2520,1680,4.4
2025-06-28,Clothing,Running Shoes,South,9500,48,4750,4750,4.6
2025-07-03,Electronics,Smart Watch,West,25000,42,15000,10000,4.8
2025-07-10,Food & Beverage,Organic Coffee,North,3500,300,2100,1400,4.7
2025-07-15,Home & Garden,Indoor Plant Set,South,5800,75,3480,2320,4.2
2025-07-22,Electronics,Wireless Headphones,East,17500,62,10500,7000,4.4
2025-07-28,Clothing,Winter Jacket,West,3200,12,1600,1600,3.8
2025-08-05,Electronics,Bluetooth Speaker,North,9200,70,5520,3680,4.2
2025-08-12,Food & Beverage,Organic Coffee,South,3800,320,2280,1520,4.6
2025-08-18,Clothing,Summer Dress,East,7200,48,3600,3600,4.4
2025-08-25,Home & Garden,Smart LED Bulbs,West,4800,180,2880,1920,4.3
2025-09-02,Electronics,Smart Watch,North,26800,45,16080,10720,4.7
2025-09-08,Clothing,Running Shoes,East,10200,50,5100,5100,4.5
2025-09-15,Electronics,Wireless Headphones,South,18500,65,11100,7400,4.4
2025-09-22,Home & Garden,Indoor Plant Set,North,6500,85,3900,2600,4.3
2025-09-28,Food & Beverage,Organic Coffee,West,4000,340,2400,1600,4.8
2025-10-05,Electronics,Bluetooth Speaker,East,9800,72,5880,3920,4.2
2025-10-12,Clothing,Summer Dress,West,5400,32,2700,2700,4.1
2025-10-18,Electronics,Smart Watch,South,28500,48,17100,11400,4.8
2025-10-25,Home & Garden,Smart LED Bulbs,South,5500,200,3300,2200,4.5
2025-11-02,Food & Beverage,Organic Coffee,North,4200,360,2520,1680,4.7
2025-11-08,Clothing,Winter Jacket,North,12500,38,6250,6250,4.2
2025-11-15,Electronics,Wireless Headphones,West,19500,68,11700,7800,4.5
2025-11-20,Home & Garden,Indoor Plant Set,East,4800,65,2880,1920,4.0
2025-11-28,Clothing,Running Shoes,South,10800,52,5400,5400,4.6
2025-12-03,Electronics,Smart Watch,East,32000,55,19200,12800,4.9
2025-12-10,Food & Beverage,Organic Coffee,West,4800,400,2880,1920,4.8
2025-12-15,Home & Garden,Smart LED Bulbs,North,6200,220,3720,2480,4.4
2025-12-20,Clothing,Winter Jacket,South,14500,45,7250,7250,4.3
2025-12-28,Electronics,Bluetooth Speaker,West,11200,80,6720,4480,4.3